STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/31/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/1/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/2/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/3/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/4/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/5/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/6/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/7/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/8/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/9/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/10/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/11/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/12/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/13/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/14/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/15/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/16/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/17/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/18/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/19/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/20/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/21/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/22/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/23/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/24/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/25/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/26/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/27/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/28/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/29/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,6/30/2019,0.12
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/1/2019,0.27
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/2/2019,0.39
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/3/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/4/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/5/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/6/2019,0.04
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/7/2019,0.02
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/8/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/9/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/10/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/11/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/12/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/13/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/14/2019,0.26
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/15/2019,0.1
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/16/2019,0.03
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/17/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/18/2019,0.28
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/19/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/20/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/21/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/22/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/23/2019,0.34
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/24/2019,0.11
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/25/2019,0.33
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/26/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/27/2019,0.11
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/28/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/29/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/30/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,7/31/2019,0.31
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,8/1/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,8/2/2019,0.02
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,8/3/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,8/4/2019,0.67
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,8/5/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,8/6/2019,0.94
